age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
>=26.5,Local-gov,>=56442,Assoc-voc,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,State-gov,>=56442,Some-college,Never-married,Adm-clerical,Own-child,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,>=9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Widowed,Prof-specialty,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Protective-serv,Husband,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,<56442,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Craft-repair,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,11th,Never-married,Sales,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Prof-school,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Other-service,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,Assoc-voc,Divorced,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Local-gov,>=56442,Some-college,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,<9104,<2298.5,<49,Cambodia
>=26.5,Private,>=56442,9th,Never-married,Other-service,Unmarried,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,>=9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,>=9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,HS-grad,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Sales,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,State-gov,>=56442,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Craft-repair,Own-child,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Adm-clerical,Other-relative,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,11th,Never-married,Machine-op-inspct,Own-child,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Widowed,Sales,Other-relative,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,12th,Never-married,Sales,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,11th,Never-married,Adm-clerical,Unmarried,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Masters,Never-married,Transport-moving,Own-child,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,State-gov,>=56442,Masters,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Separated,Craft-repair,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Other-service,Own-child,White,Male,<9104,<2298.5,<49,Canada
>=26.5,Private,<56442,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,<56442,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,<9104,<2298.5,>=49,Thailand
>=26.5,Federal-gov,>=56442,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Sales,Own-child,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,10th,Never-married,Sales,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Assoc-acdm,Divorced,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Assoc-voc,Divorced,Adm-clerical,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Never-married,Machine-op-inspct,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,12th,Never-married,Handlers-cleaners,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Priv-house-serv,Not-in-family,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,<56442,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,Prof-school,Married-civ-spouse,Transport-moving,Husband,White,Male,>=9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,11th,Married-civ-spouse,Protective-serv,Husband,Black,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Bachelors,Widowed,Other-service,Own-child,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Self-emp-not-inc,>=56442,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Preschool,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,<49,El-Salvador
<26.5,Local-gov,>=56442,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,<56442,HS-grad,Separated,Other-service,Unmarried,Amer-Indian-Eskimo,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,>=9104,<2298.5,>=49,United-States
>=26.5,Self-emp-not-inc,>=56442,10th,Never-married,Transport-moving,Not-in-family,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,Some-college,Divorced,Adm-clerical,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Never-married,Sales,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Local-gov,>=56442,HS-grad,Never-married,Other-service,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Adm-clerical,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Craft-repair,Own-child,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Local-gov,>=56442,Masters,Divorced,Prof-specialty,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,12th,Divorced,Craft-repair,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,<56442,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Bachelors,Never-married,Sales,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Female,<9104,<2298.5,>=49,United-States
<26.5,Private,<56442,Some-college,Never-married,Sales,Own-child,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Sales,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,<56442,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,State-gov,>=56442,Some-college,Never-married,Exec-managerial,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,<56442,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,11th,Married-spouse-absent,Other-service,Unmarried,Black,Female,<9104,<2298.5,<49,Jamaica
>=26.5,Private,>=56442,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Tech-support,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Other-service,Own-child,White,Male,<9104,<2298.5,<49,Italy
<26.5,Private,>=56442,Some-college,Divorced,Prof-specialty,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,<56442,Bachelors,Never-married,Handlers-cleaners,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,<56442,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Handlers-cleaners,Unmarried,Black,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Local-gov,>=56442,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Federal-gov,>=56442,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,<56442,HS-grad,Never-married,Other-service,Unmarried,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Adm-clerical,Own-child,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Sales,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,10th,Divorced,Craft-repair,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,State-gov,>=56442,10th,Separated,Adm-clerical,Unmarried,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,Some-college,Divorced,Adm-clerical,Other-relative,Black,Female,<9104,<2298.5,>=49,United-States
