Survived,Pclass,Sex,Age,Siblings.Spouses.Aboard,Parents.Children.Aboard,Fare
Yes,2,male,0,0,2,29
Yes,3,female,30,0,0,12.475
No,3,male,22,0,0,9
Yes,3,male,29,0,0,9.5
Yes,3,female,31,0,0,77.875
No,1,male,28,0,0,47.1
Yes,2,female,17,0,0,10.5
Yes,3,female,33,3,0,15.85
No,3,male,16,1,3,34.375
No,3,male,20,0,0,8.05
Yes,1,female,23,3,2,263
No,3,male,24,0,0,8.05
No,3,male,29,0,0,8.05
No,3,male,20,0,0,78.542
No,1,male,46,1,0,61.175
No,3,male,26,1,2,20.575
No,3,male,59,0,0,7.25
No,3,male,22,0,0,8.05
No,1,male,71,0,0,346.542
Yes,1,male,23,0,1,633.583
Yes,2,female,34,0,1,23
No,2,male,34,1,0,26
No,3,female,28,0,0,78.958
No,3,male,29,0,0,78.958
No,1,male,21,0,1,772.875
No,3,male,33,0,0,86.542
No,3,male,37,2,0,7.925
No,3,male,28,0,0,78.958
Yes,3,female,21,0,0,7.65
Yes,3,male,29,0,0,7.775
No,3,male,38,0,0,78.958
Yes,3,female,28,1,0,24.15
No,1,male,47,0,0,52
No,3,female,14,1,0,144.542
No,3,male,22,0,0,8.05
No,3,female,20,1,0,9.825
No,3,female,17,0,0,144.583
No,3,male,21,0,0,7.925
No,3,male,70,0,0,7.75
No,2,male,29,1,0,21
No,1,male,24,0,1,2.475.208
No,3,female,2,4,2,31.275
No,2,male,21,2,0,73.5
No,3,male,19,0,0,8.05
No,2,male,32,1,0,300.708
Yes,2,female,32,0,0,13
No,1,male,54,0,1,772.875
Yes,3,male,12,1,0,112.417
No,3,male,19,0,0,7.75
Yes,3,male,24,0,0,71.417
Yes,3,female,2,1,1,223.583
No,3,male,45,0,0,6.975
No,3,male,33,0,0,78.958
No,3,male,20,0,0,7.05
No,3,female,47,1,0,14.5
Yes,2,female,29,1,0,26
No,2,male,25,0,0,13
No,2,male,23,0,0,150.458
Yes,1,female,19,0,2,262.833
No,1,male,37,1,0,53.1
No,3,male,16,0,0,92.167
No,1,male,24,0,0,79.2
No,3,female,40,0,2,152.458
Yes,3,female,22,0,0,7.75
Yes,3,female,24,1,0,15.85
No,3,male,19,0,0,6.75
No,2,male,18,0,0,11.5
No,2,male,19,1,1,36.75
Yes,3,male,27,0,0,77.958
No,3,female,9,2,2,34.375
No,2,male,36,0,2,26
No,2,male,42,0,0,13
No,2,male,51,0,0,12.525
Yes,1,female,22,1,0,66.6
No,3,male,55,0,0,8.05
No,3,male,40,0,2,14.5
No,3,male,27,0,0,73.125
No,1,male,51,0,1,613.792
Yes,3,female,16,0,0,77.333
No,3,male,30,0,0,8.05
No,3,male,37,0,0,86.625
No,3,male,5,8,2,69.55
No,3,male,44,0,1,16.1
Yes,2,female,40,0,0,15.75
No,3,male,26,0,0,7.775
No,3,male,17,0,0,86.625
No,3,male,1,4,1,396.875
Yes,3,male,9,0,2,20.525
Yes,1,female,48,0,1,55
No,3,female,45,1,4,27.9
No,1,male,60,0,0,25.925
No,3,male,28,0,0,564.958
No,1,male,61,0,0,33.5
No,3,male,4,4,1,29.125
Yes,3,female,1,1,1,111.333
No,3,male,21,0,0,7.925
No,1,male,56,0,0,306.958
No,3,male,18,1,1,78.542
No,3,male,5,3,1,254.667
No,1,female,50,0,0,287.125
No,2,male,30,0,0,13
No,3,male,36,0,0,0
No,3,female,8,8,2,69.55
No,2,male,39,0,0,15.05
No,3,male,9,4,2,313.875
Yes,2,male,1,2,1,39
Yes,3,female,4,0,2,22.025
No,1,male,39,0,0,50
Yes,3,female,26,1,0,15.5
Yes,1,male,45,0,0,26.55
No,3,male,40,1,1,15.5
No,3,male,36,0,0,78.958
Yes,2,female,32,0,0,13
No,2,male,19,0,0,13
Yes,3,female,19,1,0,78.542
Yes,2,male,3,1,1,26
Yes,1,female,44,0,0,277.208
Yes,1,female,58,0,0,1.465.208
No,3,male,28,0,0,7.75
No,3,male,42,0,1,84.042
Yes,3,female,21,0,0,7.75
No,2,female,24,0,0,13
No,3,male,28,0,0,9.5
No,3,male,17,8,2,69.55
No,3,male,34,0,0,64.958
No,3,male,45,0,0,7.225
Yes,3,male,18,0,0,8.05
No,3,female,2,0,1,104.625
No,3,male,32,1,0,15.85
Yes,3,male,26,0,0,187.875
Yes,3,female,16,0,0,7.75
Yes,1,male,40,0,0,31
No,3,male,24,0,0,7.05
Yes,2,female,35,0,0,21
No,3,male,22,0,0,7.25
No,2,male,30,0,0,13
No,3,male,22,1,0,7.75
Yes,1,female,31,1,0,113.275
Yes,3,female,27,0,0,7.925
No,2,male,42,1,0,27
Yes,1,female,32,0,0,762.917
No,2,male,30,0,0,10.5
Yes,3,male,16,0,0,8.05
No,2,male,27,0,0,13
No,3,male,51,0,0,8.05
No,3,male,22,0,0,78.958
Yes,1,male,38,1,0,90
No,3,male,22,0,0,9.35
Yes,2,male,19,0,0,10.5
No,3,male,20,0,0,7.25
No,2,male,18,0,0,13
No,3,female,12,3,1,254.667
Yes,1,female,35,1,0,83.475
No,3,male,29,0,0,7.775
No,2,male,59,0,0,13.5
Yes,3,female,5,4,2,313.875
No,2,male,24,0,0,10.5
No,3,female,21,0,0,7.55
No,2,male,44,1,0,26
Yes,2,female,8,0,2,26.25
No,2,male,19,0,0,10.5
No,2,male,33,0,0,12.275
No,3,female,19,1,0,144.542
Yes,3,female,18,1,0,15.5
No,2,male,29,0,0,10.5
No,3,male,22,0,0,7.125
No,3,male,30,0,0,7.225
No,1,male,44,2,0,90
No,3,female,25,0,0,7.775
Yes,2,female,24,0,2,14.5
Yes,1,male,37,1,1,525.542
No,2,male,54,1,0,26
No,3,male,18,0,0,7.25
No,3,female,29,1,1,104.625
No,1,male,62,0,0,26.55
No,3,male,30,1,0,16.1
No,3,female,41,0,2,202.125
Yes,3,female,29,0,2,152.458
Yes,1,female,38,0,0,79.2
Yes,1,female,30,0,0,86.5
Yes,1,female,35,0,0,5.123.292
Yes,2,female,50,0,1,26
Yes,3,male,3,4,2,313.875
No,1,male,52,1,1,79.65
No,1,male,40,0,0,0
No,3,female,21,0,0,7.75
No,2,male,36,0,0,10.5
No,3,male,16,4,1,396.875
Yes,3,male,25,1,0,7.775
Yes,1,female,58,0,1,1.534.625
Yes,1,female,35,0,0,1.356.333
No,1,male,28,0,0,31
Yes,3,male,25,0,0,0
Yes,2,female,41,0,1,19.5
No,1,male,37,0,1,29.7
Yes,3,female,33,0,0,7.75
Yes,1,female,63,1,0,779.583
No,3,female,45,0,0,7.75
No,2,male,21,0,0,0
No,3,male,7,4,1,29.125
Yes,3,female,35,1,1,20.25
No,3,male,65,0,0,7.75
No,3,male,28,0,0,78.542
No,3,male,16,0,0,9.5
Yes,3,male,19,0,0,8.05
No,1,male,57,0,0,26
No,3,male,33,0,0,86.625
Yes,3,male,30,0,0,9.5
No,3,male,22,0,0,78.958
Yes,2,male,42,0,0,13
Yes,3,female,22,0,0,7.75
Yes,1,female,26,0,0,78.85
Yes,1,female,19,1,0,910.792
No,2,male,36,0,0,12.875
No,3,female,24,0,0,8.85
No,3,male,24,0,0,78.958
No,1,male,30,0,0,277.208
No,3,male,23,0,0,72.292
No,1,female,2,1,2,151.55
Yes,1,male,47,0,0,30.5
Yes,1,female,50,0,1,2.475.208
Yes,3,female,20,0,0,7.75
Yes,3,male,24,2,0,23.25
No,3,male,19,0,0,0
Yes,2,female,46,0,0,12.35
No,3,male,28,0,0,8.05
Yes,1,male,0,1,2,151.55
Yes,1,female,42,0,0,1.108.833
Yes,1,female,17,1,0,108.9
No,2,male,30,1,0,24
Yes,1,female,30,0,0,569.292
Yes,1,female,24,0,0,831.583
Yes,1,female,18,2,2,262.375
No,2,female,26,1,1,26
No,3,male,28,0,0,78.958
No,2,male,43,1,1,26.25
Yes,3,female,26,0,0,78.542
Yes,2,female,24,1,0,26
No,2,male,54,0,0,14
Yes,1,female,31,0,2,1.648.667
Yes,1,female,40,1,1,134.5
No,3,male,22,0,0,7.25
No,3,male,27,0,0,78.958
Yes,2,female,30,0,0,12.35
Yes,2,female,22,1,1,29
No,3,male,20,8,2,69.55
Yes,1,female,36,0,0,1.356.333
No,3,male,61,0,0,62.375
Yes,2,female,36,0,0,13
Yes,3,female,31,1,1,20.525
Yes,1,female,16,0,1,579.792
Yes,3,female,28,2,0,23.25
No,1,male,45,0,0,28.5
No,1,male,38,0,1,1.534.625
No,3,male,16,2,0,18
Yes,1,female,42,1,0,133.65
No,3,male,30,0,0,78.958
No,1,male,29,1,0,66.6
Yes,1,female,41,0,0,134.5
Yes,3,male,45,0,0,8.05
No,1,male,45,0,0,35.5
Yes,2,male,2,1,1,26
Yes,1,female,24,3,2,263
No,2,male,28,0,0,13
No,2,male,25,0,0,13
No,2,male,36,0,0,13
Yes,2,female,24,0,0,13
Yes,2,female,40,0,0,13
Yes,3,female,34,1,0,16.1
Yes,3,male,3,1,1,15.9
No,3,male,42,0,0,86.625
No,3,male,23,0,0,9.225
No,1,male,43,0,0,35
No,3,male,15,1,1,72.292
No,3,male,25,1,0,17.8
No,3,male,23,0,0,7.225
No,3,male,28,0,0,9.5
Yes,1,female,22,0,1,55
No,2,female,38,0,0,13
Yes,3,female,22,0,0,78.792
Yes,3,female,23,0,0,78.792
No,3,male,40,1,4,27.9
No,2,male,29,1,0,277.208
No,3,female,45,0,1,144.542
No,3,male,35,0,0,7.05
No,3,male,27,1,0,15.5
No,3,male,30,0,0,7.25
Yes,1,female,60,1,0,75.25
Yes,3,female,35,0,0,72.292
Yes,3,female,22,0,0,7.75
Yes,1,female,24,0,0,69.3
Yes,1,male,25,1,0,554.417
No,3,male,18,1,0,64.958
No,3,male,19,0,0,8.05
No,1,male,22,0,0,1.356.333
No,3,female,3,3,1,21.075
Yes,1,female,25,1,0,821.708
Yes,3,female,22,0,0,7.25
No,1,male,27,0,2,211.5
No,3,male,20,0,0,40.125
No,3,male,19,0,0,7.775
Yes,1,female,42,0,0,227.525
Yes,3,female,1,0,2,157.417
No,3,male,32,0,0,7.925
Yes,1,female,35,1,0,52
No,3,male,27,0,0,78.958
No,2,male,18,0,0,73.5
No,3,male,1,5,2,46.9
Yes,2,female,36,0,0,13
No,3,male,19,0,0,77.292
Yes,2,female,17,0,0,12
Yes,1,male,36,1,2,120
Yes,3,male,21,0,0,77.958
No,3,male,28,2,0,7.925
Yes,1,female,23,1,0,113.275
Yes,3,female,24,0,2,16.7
No,3,male,22,0,0,77.958
No,3,female,31,0,0,78.542
No,2,male,46,0,0,26
No,2,male,23,0,0,10.5
Yes,2,female,28,0,0,12.65
Yes,3,male,39,0,0,7.925
No,3,male,26,0,0,8.05
No,3,female,21,1,0,9.825
No,3,male,28,1,0,15.85
No,3,female,20,0,0,86.625
No,2,male,34,1,0,21
No,3,male,51,0,0,7.75
Yes,2,male,3,1,1,18.75
No,3,male,21,0,0,7.775
No,3,female,3,3,1,254.667
No,3,male,42,0,0,78.958
No,3,male,27,0,0,68.583
Yes,1,female,33,1,0,90
No,2,male,22,0,0,0
Yes,3,male,44,0,0,7.925
No,3,female,32,0,0,8.05
Yes,2,female,34,1,1,32.5
Yes,2,female,18,0,2,13
No,2,male,30,0,0,13
No,3,female,10,0,2,24.15
No,3,male,21,0,0,77.333
No,3,male,29,0,0,7.875
No,3,female,28,1,1,14.4
No,3,male,18,1,1,202.125
No,3,male,54,0,0,7.25
Yes,2,female,28,1,0,26
Yes,2,female,19,0,0,26
No,3,male,28,0,0,7.75
Yes,3,male,32,0,0,8.05
Yes,1,male,28,0,0,26.55
Yes,3,female,33,1,0,16.1
Yes,2,female,42,1,0,26
No,3,male,17,0,0,7.125
No,1,male,50,1,0,55.9
Yes,1,female,14,1,2,120
No,3,female,21,2,2,34.375
Yes,2,female,24,2,3,18.75
No,1,male,64,1,4,263
No,2,male,31,0,0,10.5
Yes,2,female,45,1,1,26.25
No,3,male,20,0,0,9.5
No,3,male,25,1,0,7.775
Yes,2,female,28,0,0,13
Yes,3,male,29,0,0,81.125
Yes,1,male,4,0,2,818.583
Yes,2,female,13,0,1,19.5
Yes,1,male,34,0,0,26.55
Yes,3,female,5,2,1,192.583
Yes,1,male,52,0,0,30.5
No,2,male,36,1,2,27.75
No,3,male,28,1,0,199.667
No,1,male,30,0,0,27.75
Yes,1,male,49,1,0,891.042
No,3,male,24,0,0,8.05
Yes,3,male,29,0,0,78.958
No,1,male,65,0,0,26.55
Yes,1,female,41,1,0,518.625
Yes,2,female,50,0,0,10.5
No,3,male,17,0,0,7.75
Yes,1,male,48,0,0,26.55
No,3,male,34,0,0,8.05
No,1,male,47,0,0,38.5
No,2,male,48,0,0,13
No,3,male,34,0,0,8.05
No,3,male,38,0,0,7.05
No,2,male,21,0,0,0
No,1,male,56,0,0,26.55
No,3,male,22,0,0,7.725
Yes,3,female,0,2,1,192.583
No,3,male,39,0,0,7.25
No,3,male,38,0,0,86.625
Yes,2,female,33,1,2,27.75
Yes,2,female,23,0,0,137.917
No,3,female,22,0,0,98.375
No,1,male,40,0,0,52
No,2,male,34,1,0,21
No,3,male,29,1,0,70.458
No,3,male,22,0,0,75.208
Yes,3,female,2,0,1,122.875
No,3,male,9,5,2,46.9
No,2,male,37,0,0,0
No,3,male,50,0,0,8.05
Yes,3,female,63,0,0,95.875
Yes,1,male,25,1,0,910.792
No,3,female,8,3,1,254.667
Yes,1,female,35,1,0,90
No,1,male,58,0,0,29.7
No,3,male,30,0,0,8.05
Yes,3,male,9,1,1,15.9
No,3,male,19,1,0,199.667
No,3,male,21,0,0,7.25
No,1,male,55,0,0,30.5
No,1,male,71,0,0,495.042
No,3,male,21,0,0,8.05
No,3,male,26,0,0,144.583
Yes,1,female,54,1,0,782.667
No,3,male,55,0,0,15.1
No,1,female,25,1,2,151.55
No,3,male,24,0,0,77.958
No,3,male,17,0,0,86.625
No,3,female,21,0,0,7.75
No,3,female,21,0,0,76.292
No,3,female,37,0,0,95.875
Yes,1,female,16,0,0,86.5
No,1,male,18,1,0,108.9
Yes,2,female,33,0,2,26
Yes,1,male,37,0,0,26.55
No,3,male,28,0,0,22.525
Yes,3,male,26,0,0,564.958
Yes,3,male,29,0,0,7.75
No,3,male,66,0,0,8.05
Yes,1,male,36,0,0,262.875
Yes,1,female,54,1,0,59.4
No,3,male,24,0,0,74.958
No,1,male,47,0,0,340.208
Yes,2,female,34,0,0,10.5
No,3,male,30,0,0,24.15
Yes,2,female,36,1,0,26
No,3,male,32,0,0,78.958
Yes,1,female,30,0,0,93.5
No,3,male,22,0,0,78.958
No,3,male,35,0,0,7.225
Yes,1,female,44,0,1,579.792
No,3,male,18,0,0,72.292
No,3,male,40,0,0,7.75
Yes,2,female,50,0,0,10.5
No,1,male,49,0,0,2.217.792
No,3,male,39,0,0,7.925
No,2,male,23,2,1,11.5
Yes,2,female,2,1,1,26
No,3,male,17,0,0,72.292
No,3,male,17,1,1,72.292
Yes,3,female,24,0,2,223.583
No,3,female,30,0,0,86.625
Yes,2,female,7,0,2,26.25
No,1,male,45,0,0,26.55
Yes,1,female,30,0,0,106.425
No,3,male,69,0,0,14.5
Yes,1,female,22,0,2,49.5
Yes,1,female,36,0,2,71
No,3,female,9,4,2,31.275
No,3,female,11,4,2,31.275
Yes,2,male,32,1,0,26
No,1,male,50,1,0,106.425
No,1,male,64,0,0,26
Yes,2,female,19,1,0,26
Yes,2,male,27,0,0,138.625
No,3,male,33,1,1,20.525
Yes,2,male,8,1,1,36.75
Yes,1,male,17,0,2,1.108.833
No,2,male,27,0,0,26
No,3,male,21,0,0,78.292
Yes,3,male,22,0,0,7.225
Yes,3,female,22,0,0,7.775
No,1,male,62,0,0,26.55
Yes,1,female,48,1,0,39.6
No,1,male,45,0,0,227.525
Yes,1,female,39,1,1,79.65
Yes,3,female,36,1,0,17.4
No,3,male,30,0,0,7.75
No,3,male,40,0,0,78.958
No,2,male,28,0,0,13.5
No,3,male,40,0,0,8.05
No,3,female,62,0,0,8.05
No,3,male,24,2,0,24.15
No,3,male,19,0,0,78.958
No,3,female,29,0,4,21.075
No,3,male,28,0,0,72.292
Yes,3,male,32,0,0,78.542
Yes,2,male,62,0,0,10.5
Yes,1,female,53,2,0,514.792
Yes,1,male,36,0,0,263.875
Yes,3,female,22,0,0,7.75
No,3,male,16,0,0,8.05
No,3,male,19,0,0,14.5
Yes,2,female,34,0,0,13
Yes,1,female,39,1,0,55.9
No,3,female,18,1,0,144.583
Yes,3,male,32,0,0,7.925
Yes,2,female,25,1,1,30
Yes,1,female,39,1,1,1.108.833
No,2,male,54,0,0,26
No,1,male,36,0,0,40.125
No,3,male,16,0,0,87.125
Yes,1,female,18,0,2,79.65
No,2,male,47,0,0,15
Yes,1,male,60,1,1,79.2
No,3,male,22,0,0,8.05
No,3,male,22,0,0,8.05
No,3,male,35,0,0,7.125
Yes,1,female,52,1,0,782.667
No,3,male,47,0,0,7.25
No,3,female,40,0,2,7.75
No,2,male,37,1,0,26
No,3,male,36,1,1,24.15
Yes,2,female,31,0,0,33
No,3,male,49,0,0,0
No,3,male,18,0,0,7.225
Yes,1,male,49,1,0,569.292
Yes,2,female,24,2,1,27
No,3,male,42,0,0,78.958
No,1,male,37,0,0,42.4
No,3,male,44,0,0,8.05
Yes,1,male,35,0,0,26.55
No,3,male,36,1,0,15.55
No,3,male,30,0,0,78.958
Yes,1,male,27,0,0,30.5
Yes,2,female,22,1,2,415.792
Yes,1,female,40,0,0,1.534.625
No,3,female,39,1,5,31.275
No,3,male,21,0,0,7.05
Yes,3,female,18,1,0,15.5
No,3,male,22,0,0,7.75
No,3,male,35,0,0,8.05
Yes,2,female,24,1,2,65
No,3,male,34,1,1,14.4
No,3,female,26,1,0,16.1
Yes,2,female,4,2,1,39
No,2,male,26,0,0,10.5
No,3,male,27,1,0,144.542
Yes,1,male,42,1,0,525.542
Yes,3,male,20,1,1,157.417
No,3,male,21,0,0,78.542
No,3,male,21,0,0,16.1
No,1,male,61,0,0,323.208
No,2,male,57,0,0,12.35
Yes,1,female,21,0,0,779.583
No,3,male,26,0,0,78.958
No,3,male,18,0,0,77.333
Yes,1,male,80,0,0,30
No,3,male,51,0,0,70.542
Yes,1,male,32,0,0,30.5
No,1,male,30,0,0,0
No,3,female,9,3,2,27.9
Yes,2,female,28,0,0,13
No,3,male,32,0,0,7.925
No,2,male,31,1,1,26.25
No,3,female,41,0,5,396.875
No,3,male,37,1,0,16.1
No,3,male,20,0,0,78.542
Yes,1,female,24,0,0,69.3
No,3,female,2,3,2,27.9
Yes,3,male,32,0,0,564.958
Yes,3,female,0,2,1,192.583
Yes,1,male,48,1,0,767.292
No,3,male,19,0,0,78.958
Yes,1,male,56,0,0,35.5
No,3,male,21,0,0,7.55
Yes,3,female,23,0,0,7.55
No,3,male,23,0,0,78.958
Yes,2,female,18,0,1,23
No,3,male,21,0,0,84.333
Yes,3,female,16,0,0,78.292
No,3,female,18,0,0,6.75
No,2,male,24,2,0,73.5
No,3,male,27,0,0,78.958
No,3,female,32,1,1,15.5
No,2,male,23,0,0,13
No,1,male,58,0,2,113.275
Yes,1,male,50,2,0,133.65
No,3,male,40,0,0,7.225
No,1,male,47,0,0,255.875
No,3,male,36,0,0,74.958
Yes,3,male,20,1,0,7.925
No,2,male,32,2,0,73.5
No,2,male,25,0,0,13
No,3,male,49,0,0,7.775
No,3,male,43,0,0,8.05
Yes,1,female,48,1,0,52
Yes,2,female,40,1,1,39
No,1,male,31,1,0,52
No,2,male,70,0,0,10.5
Yes,2,male,31,0,0,13
No,2,male,19,0,0,0
No,3,male,18,0,0,7.775
No,3,male,24,0,0,8.05
Yes,3,female,18,0,0,98.417
No,3,female,43,1,6,46.9
Yes,1,male,36,0,1,5.123.292
No,3,female,28,0,0,81.375
Yes,1,male,27,0,0,767.292
No,3,male,20,0,0,9.225
No,3,male,14,5,2,46.9
No,2,male,60,1,1,39
No,2,male,25,1,2,415.792
No,3,male,14,4,1,396.875
No,3,male,19,0,0,101.708
No,3,male,18,0,0,77.958
Yes,1,female,15,0,1,2.113.375
Yes,1,male,31,1,0,57
Yes,3,female,4,0,1,134.167
Yes,3,male,37,0,0,564.958
No,3,male,25,0,0,7.225
No,1,male,60,0,0,26.55
No,2,male,52,0,0,13.5
No,3,male,44,0,0,8.05
Yes,3,female,19,0,0,77.333
No,1,male,49,1,1,1.108.833
No,3,male,42,0,0,7.65
Yes,1,female,18,1,0,227.525
Yes,1,male,35,0,0,262.875
No,3,female,18,0,1,144.542
No,3,male,25,0,0,77.417
No,3,male,26,1,0,78.542
No,2,male,39,0,0,26
Yes,2,female,45,0,0,13.5
Yes,1,male,42,0,0,262.875
Yes,1,female,22,0,0,151.55
Yes,3,male,4,1,1,152.458
Yes,1,female,24,0,0,495.042
No,1,male,41,0,0,26.55
Yes,1,male,48,1,0,52
No,3,male,29,0,0,94.833
No,2,male,52,0,0,13
No,3,male,19,0,0,7.65
Yes,1,female,38,0,0,227.525
Yes,2,female,27,0,0,10.5
No,3,male,33,0,0,7.775
Yes,2,female,6,0,1,33
No,3,male,17,1,0,70.542
No,2,male,34,0,0,13
No,2,male,50,0,0,13
Yes,1,male,27,1,0,53.1
No,3,male,20,0,0,86.625
Yes,2,female,30,3,0,21
Yes,3,female,28,0,0,77.375
No,2,male,25,1,0,26
No,3,female,25,1,0,7.925
Yes,1,female,29,0,0,2.113.375
No,3,male,11,0,0,187.875
No,2,male,41,0,0,0
No,2,male,23,0,0,13
No,2,male,23,0,0,13
No,3,male,28,0,0,16.1
No,3,female,48,1,3,34.375
Yes,1,male,35,0,0,5.123.292
No,3,male,20,0,0,78.958
No,3,male,32,0,0,78.958
Yes,1,male,45,0,0,30
No,1,male,36,1,0,78.85
Yes,1,female,21,2,2,262.375
No,3,male,24,1,0,16.1
Yes,3,male,31,0,0,7.925
No,1,male,70,1,1,71
No,3,male,16,1,1,20.25
Yes,2,female,30,0,0,13
No,1,male,19,1,0,53.1
No,3,male,31,0,0,7.75
Yes,2,female,4,1,1,23
Yes,3,male,6,0,1,12.475
No,3,male,33,0,0,9.5
No,3,male,23,0,0,78.958
Yes,2,female,48,1,2,65
Yes,2,male,0,1,1,14.5
No,3,male,28,0,0,77.958
No,2,male,18,0,0,11.5
No,3,male,34,0,0,8.05
Yes,1,female,33,0,0,86.5
No,3,male,23,0,0,14.5
No,3,male,41,0,0,7.125
Yes,3,male,20,0,0,72.292
Yes,1,female,36,1,2,120
No,3,male,16,0,0,7.775
Yes,1,female,51,1,0,779.583
No,1,male,46,0,0,39.6
No,3,female,30,0,0,7.75
No,3,male,28,1,0,24.15
No,3,male,32,0,0,83.625
No,3,male,24,0,0,9.5
No,3,male,48,0,0,78.542
No,2,female,57,0,0,10.5
No,3,male,29,0,0,7.225
Yes,2,female,54,1,3,23
No,3,male,18,0,0,7.75
No,3,male,20,0,0,7.75
Yes,3,female,5,0,0,12.475
No,3,male,22,0,0,77.375
Yes,1,female,43,0,1,2.113.375
Yes,3,female,13,0,0,72.292
Yes,1,female,17,1,0,57
No,1,male,29,0,0,30
No,3,male,35,1,2,23.45
No,3,male,25,0,0,7.05
No,3,male,25,0,0,7.25
Yes,3,female,18,0,0,74.958
No,3,male,8,4,1,29.125
Yes,3,male,1,1,2,20.575
No,1,male,46,0,0,79.2
No,3,male,20,0,0,7.75
No,2,male,16,0,0,26
No,3,female,21,8,2,69.55
No,1,male,43,0,0,306.958
No,3,male,25,0,0,78.958
No,2,male,39,0,0,13
Yes,1,female,49,0,0,259.292
Yes,3,female,31,0,0,86.833
No,3,male,30,0,0,72.292
No,3,female,30,1,1,24.15
No,2,male,34,0,0,13
Yes,2,female,31,1,1,26.25
Yes,1,male,11,1,2,120
Yes,3,male,0,0,1,85.167
Yes,3,male,27,0,0,6.975
No,3,male,31,0,0,7.775
No,1,male,39,0,0,0
No,3,female,18,0,0,7.775
No,2,male,39,0,0,13
Yes,1,female,33,1,0,53.1
No,3,male,26,0,0,78.875
No,3,male,39,0,0,24.15
No,2,male,35,0,0,10.5
No,3,female,6,4,2,31.275
No,3,male,30,0,0,8.05
No,1,male,39,0,0,0
No,3,female,23,0,0,7.925
No,2,male,31,1,1,370.042
No,3,male,43,0,0,6.45
No,3,male,10,3,2,27.9
Yes,1,female,52,1,1,93.5
Yes,3,male,27,0,0,86.625
No,1,male,38,0,0,0
Yes,3,female,27,0,1,12.475
No,3,male,2,4,1,396.875
No,3,male,36,0,0,6.95
No,3,male,23,0,0,564.958
Yes,2,male,1,0,2,370.042
Yes,3,male,19,0,0,7.75
Yes,1,female,62,0,0,80
Yes,3,female,15,1,0,144.542
Yes,2,male,0,1,1,18.75
No,3,male,30,0,0,72.292
No,3,male,23,0,0,78.542
No,3,male,18,0,0,8.3
Yes,1,female,39,1,1,831.583
No,3,male,21,0,0,86.625
No,3,male,20,0,0,8.05
Yes,3,male,32,0,0,564.958
Yes,1,male,29,0,0,29.7
No,3,male,20,0,0,7.925
No,2,male,16,0,0,10.5
Yes,1,female,30,0,0,31
No,3,male,34,0,0,64.375
No,3,male,17,0,0,86.625
No,3,male,42,0,0,7.55
No,3,male,18,8,2,69.55
No,3,male,35,0,0,78.958
